problem_id,coverage_group,num_plans,num_codes_per_plan,mean_q_binary,best_q_binary,best_mean_gap_binary,mean_q_tpr,best_q_tpr,best_mean_gap_tpr,between_plan_var_binary,within_plan_coder_var_binary,between_share_binary,within_share_binary,between_plan_var_tpr,num_usable_plans,num_stable_050_plans,num_stable_075_plans,num_perfect_plans,num_binary_zero_plans,num_binary_zero_tpr_positive,binary_zero_tpr_positive_rate,num_binary_zero_tpr_ge_025,binary_zero_tpr_ge_025_rate,num_binary_zero_tpr_ge_050,binary_zero_tpr_ge_050_rate,best_binary_plan_index,best_tpr_plan_index,best_plan_index_disagreement,binary_profile,q_binary_profile,q_tpr_profile
deepcoder_taco_00339,STABLE_COVERAGE,8,4,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8,8,8,8,0,0,0.0,0,0.0,0,0.0,0,0,0,4/4 | 4/4 | 4/4 | 4/4 | 4/4 | 4/4 | 4/4 | 4/4,1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000,1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000
deepcoder_taco_00340,STABLE_COVERAGE,8,4,0.15625,0.75,0.59375,0.15625,0.75,0.59375,0.0615234375,0.0703125,0.4666666666666667,0.5333333333333333,0.0615234375,3,1,1,0,5,0,0.0,0,0.0,0,0.0,7,7,0,0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 1/4 | 1/4 | 3/4,0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.2500 | 0.2500 | 0.7500,0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.2500 | 0.2500 | 0.7500
deepcoder_taco_00377,UNSTABLE_COVERAGE,8,4,0.03125,0.25,0.21875,0.171875,0.375,0.203125,0.0068359375,0.0234375,0.22580645161290322,0.7741935483870968,0.012255859375,1,0,0,0,7,6,0.8571428571428571,1,0.14285714285714285,0,0.0,7,5,1,0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 1/4,0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.2500,0.1000 | 0.2250 | 0.0000 | 0.1000 | 0.2250 | 0.3750 | 0.1000 | 0.2500
deepcoder_taco_00379,UNSTABLE_COVERAGE,8,4,0.09375,0.5,0.40625,0.34375,0.8999999999999999,0.5562499999999999,0.0302734375,0.0546875,0.3563218390804598,0.6436781609195402,0.1058984375,2,1,0,0,6,3,0.5,2,0.3333333333333333,1,0.16666666666666666,1,1,0,0/4 | 2/4 | 0/4 | 0/4 | 0/4 | 1/4 | 0/4 | 0/4,0.0000 | 0.5000 | 0.0000 | 0.0000 | 0.0000 | 0.2500 | 0.0000 | 0.0000,0.0000 | 0.9000 | 0.0000 | 0.0000 | 0.4000 | 0.6500 | 0.2000 | 0.6000
deepcoder_taco_00395,STABLE_COVERAGE,8,4,0.46875,1.0,0.53125,0.46875,1.0,0.53125,0.0537109375,0.1953125,0.21568627450980393,0.7843137254901961,0.0537109375,8,5,1,1,0,0,0.0,0,0.0,0,0.0,2,2,0,1/4 | 2/4 | 4/4 | 1/4 | 2/4 | 2/4 | 1/4 | 2/4,0.2500 | 0.5000 | 1.0000 | 0.2500 | 0.5000 | 0.5000 | 0.2500 | 0.5000,0.2500 | 0.5000 | 1.0000 | 0.2500 | 0.5000 | 0.5000 | 0.2500 | 0.5000
deepcoder_taco_00402,NO_COVERAGE,8,4,0.0,0.0,0.0,0.040625,0.1,0.059375000000000004,0.0,0.0,0.0,0.0,0.0013964843750000002,0,0,0,0,8,6,0.75,0,0.0,0,0.0,0,2,1,0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4,0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000,0.0250 | 0.0250 | 0.1000 | 0.0500 | 0.0250 | 0.0000 | 0.0000 | 0.1000
deepcoder_taco_00412,NO_COVERAGE,8,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,0,0.0,0,0.0,0,0.0,0,0,0,0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4,0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000,0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000
deepcoder_taco_00413,NO_COVERAGE,8,4,0.0,0.0,0.0,0.00625,0.05,0.043750000000000004,0.0,0.0,0.0,0.0,0.0002734375,0,0,0,0,8,1,0.125,0,0.0,0,0.0,0,3,1,0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4,0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000,0.0000 | 0.0000 | 0.0000 | 0.0500 | 0.0000 | 0.0000 | 0.0000 | 0.0000
deepcoder_taco_00417,STABLE_COVERAGE,8,4,0.40625,0.75,0.34375,0.40625,0.75,0.34375,0.0771484375,0.1640625,0.31983805668016196,0.680161943319838,0.0771484375,6,5,2,0,2,0,0.0,0,0.0,0,0.0,1,1,0,2/4 | 3/4 | 0/4 | 2/4 | 0/4 | 1/4 | 2/4 | 3/4,0.5000 | 0.7500 | 0.0000 | 0.5000 | 0.0000 | 0.2500 | 0.5000 | 0.7500,0.5000 | 0.7500 | 0.0000 | 0.5000 | 0.0000 | 0.2500 | 0.5000 | 0.7500
deepcoder_taco_00437,STABLE_COVERAGE,8,4,0.1875,0.75,0.5625,0.1875,0.75,0.5625,0.07421875,0.078125,0.48717948717948717,0.5128205128205128,0.07421875,3,2,1,0,5,0,0.0,0,0.0,0,0.0,2,2,0,0/4 | 1/4 | 3/4 | 0/4 | 2/4 | 0/4 | 0/4 | 0/4,0.0000 | 0.2500 | 0.7500 | 0.0000 | 0.5000 | 0.0000 | 0.0000 | 0.0000,0.0000 | 0.2500 | 0.7500 | 0.0000 | 0.5000 | 0.0000 | 0.0000 | 0.0000
deepcoder_taco_00451,STABLE_COVERAGE,8,4,0.15625,0.75,0.59375,0.15625,0.75,0.59375,0.0615234375,0.0703125,0.4666666666666667,0.5333333333333333,0.0615234375,3,1,1,0,5,0,0.0,0,0.0,0,0.0,6,6,0,0/4 | 1/4 | 0/4 | 0/4 | 0/4 | 1/4 | 3/4 | 0/4,0.0000 | 0.2500 | 0.0000 | 0.0000 | 0.0000 | 0.2500 | 0.7500 | 0.0000,0.0000 | 0.2500 | 0.0000 | 0.0000 | 0.0000 | 0.2500 | 0.7500 | 0.0000
deepcoder_taco_00472,NO_COVERAGE,8,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,0,0.0,0,0.0,0,0.0,0,0,0,0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4,0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000,0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000
deepcoder_taco_00476,NO_COVERAGE,8,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,0,0.0,0,0.0,0,0.0,0,0,0,0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4,0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000,0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000
