problem_id,difficulty,pattern,direct_passed,self_plan_passed,teacher_plan_passed,direct_test_pass_ratio,self_plan_test_pass_ratio,teacher_plan_test_pass_ratio
abc381_b,easy,F-F-P,False,False,True,0.9767441860465116,0.9767441860465116,1.0
abc380_a,easy,P-F-P,True,False,True,1.0,0.8863636363636364,1.0
abc380_b,easy,F-F-P,False,False,True,0.0,0.0,1.0
abc379_b,easy,P-P-P,True,True,True,1.0,1.0,1.0
abc379_a,easy,P-F-P,True,False,True,1.0,0.0,1.0
abc378_b,easy,F-F-F,False,False,False,0.0,0.024390243902439025,0.0
abc378_a,easy,P-P-F,True,True,False,1.0,1.0,0.4186046511627907
abc377_b,easy,P-F-F,True,False,False,1.0,0.17647058823529413,0.0
abc377_a,easy,P-P-P,True,True,True,1.0,1.0,1.0
abc376_a,easy,F-P-P,False,True,True,0.17647058823529413,1.0,1.0
abc375_b,easy,F-F-F,False,False,False,0.07142857142857142,0.07142857142857142,0.14285714285714285
abc375_a,easy,P-P-P,True,True,True,1.0,1.0,1.0
abc374_b,easy,F-F-P,False,False,True,0.68,0.24,1.0
abc374_a,easy,P-P-P,True,True,True,1.0,1.0,1.0
abc373_a,easy,F-P-P,False,True,True,0.0,1.0,1.0
abc373_b,easy,F-F-F,False,False,False,0.0,0.2,0.2
abc372_a,easy,F-P-P,False,True,True,0.0,1.0,1.0
abc371_b,easy,F-F-F,False,False,False,0.1875,0.0,0.0
abc371_a,easy,F-F-F,False,False,False,0.3333333333333333,0.16666666666666666,0.16666666666666666
abc370_a,easy,F-P-P,False,True,True,0.75,1.0,1.0
abc370_b,easy,F-F-F,False,False,False,0.0,0.0625,0.25
abc369_a,easy,F-F-P,False,False,True,0.3333333333333333,0.0,1.0
abc369_b,easy,F-F-F,False,False,False,0.25,0.0,0.15
abc368_a,easy,P-P-F,True,True,False,1.0,1.0,0.0
abc368_b,easy,F-F-P,False,False,True,0.2,0.13333333333333333,1.0
abc367_a,easy,F-F-P,False,False,True,0.6428571428571429,0.2857142857142857,1.0
abc367_b,easy,P-P-P,True,True,True,1.0,1.0,1.0
abc366_b,easy,F-F-F,False,False,False,0.0,0.0,0.1
abc366_a,easy,F-F-P,False,False,True,0.5714285714285714,0.8571428571428571,1.0
abc365_b,easy,F-F-F,False,False,False,0.0,0.7333333333333333,0.7333333333333333
abc365_a,easy,P-F-P,True,False,True,1.0,0.5714285714285714,1.0
abc364_b,easy,F-F-F,False,False,False,0.0,0.3333333333333333,0.38095238095238093
abc364_a,easy,F-F-F,False,False,False,0.8421052631578947,0.8421052631578947,0.631578947368421
abc363_a,easy,F-F-F,False,False,False,0.0,0.0,0.0
abc363_b,easy,F-P-P,False,True,True,0.13043478260869565,1.0,1.0
abc362_a,easy,F-F-P,False,False,True,0.6875,0.125,1.0
abc362_b,easy,P-F-P,True,False,True,1.0,0.0,1.0
abc361_a,easy,P-P-P,True,True,True,1.0,1.0,1.0
abc360_b,easy,F-F-P,False,False,True,0.391304347826087,0.0,1.0
abc360_a,easy,P-P-P,True,True,True,1.0,1.0,1.0
abc359_b,easy,F-P-P,False,True,True,0.0,1.0,1.0
abc359_a,easy,P-P-P,True,True,True,1.0,1.0,1.0
