problem_id,category,base_tpr,vanilla_tpr,tpr_tpr,vanilla_vs_base_tpr,tpr_vs_base_tpr,tpr_vs_vanilla_tpr,base_passed_tests,vanilla_passed_tests,tpr_passed_tests,total_tests,base_status,vanilla_status,tpr_status,qualitative_score
deepcoder_taco_00377,both_degraded,0.9152542372881356,0.9067796610169492,0.9067796610169492,-0.008474576271186418,-0.008474576271186418,0.0,108,107,107,118,WRONG_ANSWER,TIME_LIMIT_EXCEEDED,TIME_LIMIT_EXCEEDED,0.008474576271186418
deepcoder_taco_00212,tpr_only_improvement,0.0,0.0,0.00510204081632653,0.0,0.00510204081632653,0.00510204081632653,0,0,1,196,WRONG_ANSWER,WRONG_ANSWER,TIME_LIMIT_EXCEEDED,0.007653061224489796
deepcoder_taco_00716,vanilla_only_improvement,0.0048543689320388345,0.009708737864077669,0.0048543689320388345,0.0048543689320388345,0.0,-0.0048543689320388345,1,2,1,206,WRONG_ANSWER,TIME_LIMIT_EXCEEDED,WRONG_ANSWER,0.007281553398058252
deepcoder_taco_00057,unchanged_nonzero,0.8349514563106796,0.8349514563106796,0.8349514563106796,0.0,0.0,0.0,86,86,86,103,WRONG_ANSWER,WRONG_ANSWER,WRONG_ANSWER,0.0
deepcoder_taco_00064,unchanged_nonzero,0.570694087403599,0.570694087403599,0.570694087403599,0.0,0.0,0.0,222,222,222,389,WRONG_ANSWER,WRONG_ANSWER,WRONG_ANSWER,0.0
deepcoder_taco_00088,all_zero,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,130,TIME_LIMIT_EXCEEDED,TIME_LIMIT_EXCEEDED,TIME_LIMIT_EXCEEDED,0.0
deepcoder_taco_00132,all_zero,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,102,WRONG_ANSWER,WRONG_ANSWER,WRONG_ANSWER,0.0
deepcoder_taco_00200,unchanged_nonzero,0.07894736842105263,0.07894736842105263,0.07894736842105263,0.0,0.0,0.0,15,15,15,190,WRONG_ANSWER,WRONG_ANSWER,WRONG_ANSWER,0.0
deepcoder_taco_00203,all_zero,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,101,RUNTIME_ERROR,RUNTIME_ERROR,RUNTIME_ERROR,0.0
deepcoder_taco_00216,all_zero,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,51,RUNTIME_ERROR,RUNTIME_ERROR,RUNTIME_ERROR,0.0
deepcoder_taco_00229,unchanged_nonzero,0.21739130434782608,0.21739130434782608,0.21739130434782608,0.0,0.0,0.0,30,30,30,138,WRONG_ANSWER,WRONG_ANSWER,WRONG_ANSWER,0.0
deepcoder_taco_00231,all_zero,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,102,WRONG_ANSWER,WRONG_ANSWER,WRONG_ANSWER,0.0
deepcoder_taco_00239,unchanged_nonzero,0.00980392156862745,0.00980392156862745,0.00980392156862745,0.0,0.0,0.0,1,1,1,102,RUNTIME_ERROR,RUNTIME_ERROR,RUNTIME_ERROR,0.0
deepcoder_taco_00251,unchanged_nonzero,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.0,0.0,0.0,21,21,21,90,WRONG_ANSWER,WRONG_ANSWER,WRONG_ANSWER,0.0
deepcoder_taco_00280,all_zero,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,123,RUNTIME_ERROR,WRONG_ANSWER,RUNTIME_ERROR,0.0
deepcoder_taco_00340,unchanged_nonzero,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.0,0.0,0.0,2,2,2,104,WRONG_ANSWER,WRONG_ANSWER,WRONG_ANSWER,0.0
deepcoder_taco_00395,all_zero,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,264,WRONG_ANSWER,WRONG_ANSWER,WRONG_ANSWER,0.0
deepcoder_taco_00402,unchanged_nonzero,0.8349514563106796,0.8349514563106796,0.8349514563106796,0.0,0.0,0.0,86,86,86,103,WRONG_ANSWER,WRONG_ANSWER,WRONG_ANSWER,0.0
deepcoder_taco_00413,all_zero,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,67,RUNTIME_ERROR,RUNTIME_ERROR,RUNTIME_ERROR,0.0
deepcoder_taco_00437,all_zero,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,101,WRONG_ANSWER,RUNTIME_ERROR,RUNTIME_ERROR,0.0
deepcoder_taco_00451,all_zero,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,101,RUNTIME_ERROR,RUNTIME_ERROR,RUNTIME_ERROR,0.0
deepcoder_taco_00476,unchanged_nonzero,0.032467532467532464,0.032467532467532464,0.032467532467532464,0.0,0.0,0.0,5,5,5,154,TIME_LIMIT_EXCEEDED,TIME_LIMIT_EXCEEDED,TIME_LIMIT_EXCEEDED,0.0
deepcoder_taco_00515,unchanged_nonzero,0.39349112426035504,0.39349112426035504,0.39349112426035504,0.0,0.0,0.0,133,133,133,338,WRONG_ANSWER,WRONG_ANSWER,WRONG_ANSWER,0.0
deepcoder_taco_00534,all_zero,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,102,RUNTIME_ERROR,RUNTIME_ERROR,RUNTIME_ERROR,0.0
deepcoder_taco_00535,unchanged_nonzero,0.40588235294117647,0.40588235294117647,0.40588235294117647,0.0,0.0,0.0,69,69,69,170,RUNTIME_ERROR,RUNTIME_ERROR,RUNTIME_ERROR,0.0
deepcoder_taco_00547,unchanged_nonzero,0.9382022471910112,0.9382022471910112,0.9382022471910112,0.0,0.0,0.0,167,167,167,178,WRONG_ANSWER,WRONG_ANSWER,WRONG_ANSWER,0.0
deepcoder_taco_00582,all_zero,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,63,RUNTIME_ERROR,RUNTIME_ERROR,RUNTIME_ERROR,0.0
deepcoder_taco_00605,unchanged_nonzero,0.008333333333333333,0.008333333333333333,0.008333333333333333,0.0,0.0,0.0,1,1,1,120,WRONG_ANSWER,WRONG_ANSWER,WRONG_ANSWER,0.0
deepcoder_taco_00617,all_zero,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,101,RUNTIME_ERROR,RUNTIME_ERROR,RUNTIME_ERROR,0.0
deepcoder_taco_00668,all_zero,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,101,RUNTIME_ERROR,RUNTIME_ERROR,RUNTIME_ERROR,0.0
deepcoder_taco_00671,unchanged_nonzero,0.1,0.1,0.1,0.0,0.0,0.0,2,2,2,20,WRONG_ANSWER,WRONG_ANSWER,WRONG_ANSWER,0.0
deepcoder_taco_00679,all_zero,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,103,RUNTIME_ERROR,RUNTIME_ERROR,RUNTIME_ERROR,0.0
deepcoder_taco_00698,all_zero,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,66,WRONG_ANSWER,WRONG_ANSWER,WRONG_ANSWER,0.0
deepcoder_taco_00699,all_zero,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,202,RUNTIME_ERROR,RUNTIME_ERROR,WRONG_ANSWER,0.0
deepcoder_taco_00726,all_zero,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,99,WRONG_ANSWER,WRONG_ANSWER,WRONG_ANSWER,0.0
deepcoder_taco_00764,unchanged_nonzero,0.9603960396039604,0.9603960396039604,0.9603960396039604,0.0,0.0,0.0,97,97,97,101,RUNTIME_ERROR,RUNTIME_ERROR,RUNTIME_ERROR,0.0
deepcoder_taco_00801,unchanged_nonzero,0.32142857142857145,0.32142857142857145,0.32142857142857145,0.0,0.0,0.0,27,27,27,84,WRONG_ANSWER,WRONG_ANSWER,WRONG_ANSWER,0.0
deepcoder_taco_00831,unchanged_nonzero,0.5609756097560976,0.5609756097560976,0.5609756097560976,0.0,0.0,0.0,46,46,46,82,WRONG_ANSWER,WRONG_ANSWER,WRONG_ANSWER,0.0
deepcoder_taco_00845,all_zero,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,66,RUNTIME_ERROR,RUNTIME_ERROR,RUNTIME_ERROR,0.0
deepcoder_taco_00855,all_zero,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,204,WRONG_ANSWER,WRONG_ANSWER,WRONG_ANSWER,0.0
deepcoder_taco_00864,unchanged_nonzero,0.03409090909090909,0.03409090909090909,0.03409090909090909,0.0,0.0,0.0,3,3,3,88,RUNTIME_ERROR,RUNTIME_ERROR,RUNTIME_ERROR,0.0
deepcoder_taco_00874,unchanged_nonzero,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.0,0.0,0.0,12,12,12,51,RUNTIME_ERROR,RUNTIME_ERROR,RUNTIME_ERROR,0.0
deepcoder_taco_00877,all_zero,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,112,RUNTIME_ERROR,RUNTIME_ERROR,RUNTIME_ERROR,0.0
deepcoder_taco_00888,all_zero,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,66,WRONG_ANSWER,WRONG_ANSWER,WRONG_ANSWER,0.0
deepcoder_taco_00892,all_zero,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,68,RUNTIME_ERROR,RUNTIME_ERROR,RUNTIME_ERROR,0.0
deepcoder_taco_00906,unchanged_nonzero,0.010101010101010102,0.010101010101010102,0.010101010101010102,0.0,0.0,0.0,1,1,1,99,WRONG_ANSWER,WRONG_ANSWER,WRONG_ANSWER,0.0
deepcoder_taco_00914,unchanged_nonzero,0.8706896551724138,0.8706896551724138,0.8706896551724138,0.0,0.0,0.0,101,101,101,116,WRONG_ANSWER,WRONG_ANSWER,WRONG_ANSWER,0.0
deepcoder_taco_00929,all_zero,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,91,WRONG_ANSWER,WRONG_ANSWER,WRONG_ANSWER,0.0
deepcoder_taco_00967,unchanged_nonzero,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.0,0.0,0.0,108,108,108,112,TIME_LIMIT_EXCEEDED,TIME_LIMIT_EXCEEDED,TIME_LIMIT_EXCEEDED,0.0
deepcoder_taco_00973,unchanged_nonzero,0.26548672566371684,0.26548672566371684,0.26548672566371684,0.0,0.0,0.0,30,30,30,113,WRONG_ANSWER,WRONG_ANSWER,WRONG_ANSWER,0.0
deepcoder_taco_01010,all_zero,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,102,WRONG_ANSWER,WRONG_ANSWER,WRONG_ANSWER,0.0
deepcoder_taco_01030,all_zero,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,94,RUNTIME_ERROR,RUNTIME_ERROR,RUNTIME_ERROR,0.0
deepcoder_taco_01063,unchanged_nonzero,0.1509433962264151,0.1509433962264151,0.1509433962264151,0.0,0.0,0.0,24,24,24,159,WRONG_ANSWER,WRONG_ANSWER,WRONG_ANSWER,0.0
deepcoder_taco_01065,unchanged_nonzero,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.0,0.0,0.0,1,1,1,65,WRONG_ANSWER,WRONG_ANSWER,WRONG_ANSWER,0.0
